Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9
0.137	-0.252	0.0537	0.2	0.147	0.123	0.283	-0.166	0.789
0.248	-0.118	0.106	0.033	-0.158	0.0234	-0.28	-0.166	0.852
0.199	0.208	0.0849	0.286	-0.239	-0.266	0.139	0.24	0.82
0.239	0.02	0.0331	-0.291	0.0282	-0.115	-0.252	0.006	0.929
0.114	0.023	0.31	0.0788	0.283	-0.219	0.307	0.261	0.865
-0.277	-0.0386	0.22	-0.299	-0.176	0.174	0.0856	0.0388	0.854
0.281	-0.12	-0.163	0.17	-0.255	-0.206	-0.0731	0.303	0.897
0.164	-0.193	0.00463	0.121	0.0685	0.281	0.0141	-0.297	0.812
-0.308	0.234	-0.165	0.231	0.0686	-0.17	-0.0777	-0.104	0.977
0.173	-0.184	-0.225	-0.286	0.284	-0.277	0.198	0.213	1.02
-0.227	0.168	-0.222	-0.163	0.0454	-0.153	-0.207	0.178	1.02
-0.00115	-0.187	0.203	0.279	0.0926	-0.112	0.264	0.0751	0.835
0.106	-0.168	0.184	0.0432	0.0134	0.141	-0.0861	-0.0654	0.856
-0.0647	0.0134	-0.0983	0.0653	0.037	-0.126	0.193	-0.174	0.899
0.104	-0.216	-0.283	-0.31	0.212	0.199	-0.0136	-0.00829	1.03
-0.0846	0.234	-0.073	0.217	-0.0706	0.17	0.0885	0.169	0.847
-0.0173	0.124	-0.307	-0.0109	-0.307	0.264	0.206	0.149	0.792
0.09	0.0713	0.134	0.0047	0.145	-0.211	0.119	-0.0949	0.91
-0.0744	-0.308	-0.156	-0.176	0.113	0.145	-0.198	-0.228	1.01
-0.0902	0.292	-0.168	-0.0144	-0.0361	0.169	-0.267	-0.312	0.911
-0.179	0.193	0.011	0.0634	0.308	-0.0154	0.0907	0.239	0.988
0.205	-0.0696	-0.245	0.0827	0.0371	0.149	0.0559	-0.134	0.856
0.119	0.177	-0.0122	-0.0446	-0.0768	0.312	0.0343	-0.309	0.776
0.193	-0.227	-0.0411	-0.0781	-0.114	-0.143	-0.177	-0.175	0.915
0.18	-0.188	-0.169	0.0641	0.277	-0.0221	0.037	0.185	1
0.258	-0.288	-0.276	-0.125	-0.102	-0.128	0.0533	-0.099	0.946
0.306	-0.0137	0.201	-0.123	0.0773	-0.069	-0.0777	-0.196	0.889
0.0726	0.118	-0.193	-0.284	0.0324	0.172	-0.298	-0.135	0.965
-0.0202	-0.138	-0.292	-0.299	-0.26	-0.0633	-0.191	0.28	0.947
